bias_est,bias_true,trials
-3.53632429,-5,12
-3.09944394,-5,120
-3.53632429,-5,1200
-2.9608842175,-3,12
-3.09944394,-3,120
-2.4788181475,-3,1200
-0.652750084865,-1,12
-0.7752439272,-1,120
-1.4567662805,-1,1200
-0.48046285048555,-0.5,12
-0.301906323061775,-0.5,120
-0.48046285048555,-0.5,1200
0.253882217104,0,12
0.08906981400075,0,120
0.04623559224275,0,1200
0.70790536149,0.5,12
-0.03016865097025,0.5,120
0.7627420125575,0.5,1200
1.23268291025,1,12
0.85416955575,1,120
1.159770357775,1,1200
2.7828222925,3,12
2.649977115,3,120
2.7828222925,3,1200
3.0979259825,5,12
3.349208055,5,120
3.5717613225,5,1200
